ts_ms,label
127500,phobic
128500,blood
129000,blood
129000,obscene
129500,blood
130500,obscene
133000,obscene
135500,phobic
136000,obscene
136500,obscene
136500,obscene
137000,obscene
137000,obscene
137500,obscene
137500,obscene
138000,obscene
138500,obscene
139000,obscene
139500,blood
140500,alcohol
141500,alcohol
141500,obscene
142000,obscene
142500,obscene
143000,obscene
143500,alcohol
143500,blood
143500,blood
143500,obscene
143500,obscene
144000,alcohol
144000,blood
144000,blood
144000,obscene
144000,obscene
144500,alcohol
144500,blood
144500,blood
144500,obscene
144500,obscene
145000,alcohol
145000,blood
145000,blood
145500,alcohol
145500,blood
145500,blood
145500,obscene
145500,phobic
146000,alcohol
146000,blood
146000,blood
146000,obscene
146500,alcohol
146500,blood
146500,blood
146500,obscene
147000,obscene
147000,phobic
147500,obscene
147500,phobic
148000,obscene
148000,phobic
148500,blood
148500,obscene
149000,obscene
149500,alcohol
149500,obscene
149500,phobic
150000,obscene
150000,phobic
150500,obscene
150500,phobic
151000,obscene
151000,phobic
151500,obscene
151500,phobic
152000,obscene
152000,phobic
152500,obscene
152500,phobic
153000,obscene
153000,phobic
153500,obscene
153500,phobic
154000,blood
154000,obscene
154000,phobic
154500,obscene
154500,phobic
155000,obscene
155000,phobic
155500,obscene
155500,phobic
156000,obscene
156000,phobic
156500,obscene
156500,phobic
157000,obscene
157000,phobic
157500,obscene
157500,obscene
157500,phobic
158000,obscene
158000,phobic
158500,phobic
159000,obscene
159500,obscene
159500,obscene
160000,obscene
160000,phobic
160500,obscene
160500,phobic
161000,obscene
161500,obscene
162000,obscene
162000,phobic
162500,obscene
163000,obscene
163000,phobic
163500,obscene
163500,phobic
164000,obscene
164000,phobic
164500,obscene
164500,phobic
165000,blood
165000,obscene
165000,phobic
165500,blood
165500,obscene
165500,phobic
166000,alcohol
166000,obscene
166000,phobic
166500,alcohol
166500,obscene
167000,alcohol
167000,blood
167000,obscene
167000,phobic
167500,obscene
168000,obscene
168000,phobic
168500,blood
168500,obscene
168500,phobic
169000,obscene
169000,phobic
169500,obscene
169500,phobic
170000,alcohol
170000,blood
170000,obscene
170500,alcohol
170500,blood
170500,obscene
171000,alcohol
171000,blood
171000,obscene
171000,phobic
171500,alcohol
171500,blood
171500,obscene
171500,phobic
172000,alcohol
172000,blood
172000,obscene
172000,phobic
172500,alcohol
172500,blood
172500,obscene
173000,alcohol
173000,blood
173000,obscene
173500,alcohol
173500,obscene
