second,label,count
454,phobic,24
455,obscene,24
455,phobic,24
456,obscene,24
456,phobic,24
457,obscene,24
457,phobic,24
458,obscene,23
458,phobic,23
459,obscene,24
459,phobic,24
460,alcohol,12
460,obscene,24
460,phobic,24
461,alcohol,24
461,obscene,24
461,phobic,24
462,alcohol,24
462,blood,24
462,obscene,17
462,phobic,17
463,alcohol,24
463,blood,24
463,obscene,5
463,phobic,12
464,alcohol,24
464,blood,24
464,obscene,12
464,phobic,24
465,alcohol,24
465,blood,24
465,obscene,24
465,phobic,24
466,alcohol,5
466,blood,5
466,obscene,24
466,phobic,24
467,obscene,24
467,phobic,24
468,obscene,24
468,phobic,24
469,obscene,24
469,phobic,24
470,obscene,24
470,phobic,24
471,obscene,24
471,phobic,24
472,obscene,24
472,phobic,24
473,obscene,24
473,phobic,24
474,obscene,24
474,phobic,24
475,alcohol,12
475,obscene,5
475,phobic,24
476,alcohol,24
476,phobic,24
477,alcohol,17
477,blood,5
477,obscene,24
477,phobic,17
478,blood,24
478,obscene,24
479,blood,24
479,obscene,24
480,blood,24
480,obscene,24
481,blood,24
481,obscene,24
482,blood,24
482,obscene,24
483,blood,24
483,obscene,24
484,blood,24
484,obscene,24
485,blood,24
485,obscene,24
486,blood,5
486,obscene,5
490,blood,5
509,blood,5
510,blood,12
511,blood,24
512,blood,24
513,blood,5
